lead_ref,whatsapp_anon,fecha_hora,origen,mensaje
L01,549261*****01,2026-08-03T14:34:22.745610Z,LEAD,"Hola, quería consultar por aislación de un techo de chapa"
L01,549261*****01,2026-08-03T14:34:22.768631Z,BOT,"Hola, ¿cómo estás? Soy el asistente de Aislaciones RH. ¿En qué te puedo ayudar con tu consulta de aislación térmica o acústica?"
L01,549261*****01,2026-08-03T14:35:47.483043Z,LEAD,"es una casa, el techo de chapa se recalienta muchísimo en verano"
L01,549261*****01,2026-08-03T14:35:47.512053Z,BOT,"El valor depende de la superficie y del sistema (lana de vidrio, poliuretano proyectado, EPS). Para pasarte un número necesito algunos datos del inmueble."
L02,549261*****02,2026-08-04T18:10:12.912512Z,LEAD,"hola, hacen aislación acústica? escucho todo del vecino"
L02,549261*****02,2026-08-04T18:10:12.930321Z,BOT,"Hola, ¿cómo estás? Soy el asistente de Aislaciones RH. ¿En qué te puedo ayudar con tu consulta de aislación térmica o acústica?"
L02,549261*****02,2026-08-04T18:14:28.723660Z,LEAD,"es un depto, pared medianera con el vecino"
L02,549261*****02,2026-08-04T18:14:28.734033Z,BOT,"Sí, hacemos aislación acústica de paredes. Sobre la medianera se arma un trasdosado con panel y lana. El valor depende de la superficie y del sistema (lana de vidrio, poliuretano proyectado, EPS). Para pasarte un número necesito algunos datos del inmueble."
L03,549261*****03,2026-08-04T19:41:01.997786Z,LEAD,"buenas, necesito aislar la cubierta de un galpón"
L03,549261*****03,2026-08-04T19:41:02.004428Z,BOT,"Hola, ¿cómo estás? Soy el asistente de Aislaciones RH. ¿En qué te puedo ayudar con tu consulta de aislación térmica o acústica?"
L03,549261*****03,2026-08-04T19:44:24.977014Z,LEAD,"es para bajar la temperatura adentro, se trabaja de día"
L03,549261*****03,2026-08-04T19:44:24.991582Z,BOT,"Para galpones lo más habitual es poliuretano proyectado bajo la cubierta. El valor depende de la superficie y del sistema (lana de vidrio, poliuretano proyectado, EPS). Para pasarte un número necesito algunos datos del inmueble."
L04,549261*****04,2026-08-06T15:41:25.185047Z,LEAD,trabajan en Luján de Cuyo?
L04,549261*****04,2026-08-06T15:41:25.216136Z,BOT,"Hola, ¿cómo estás? Soy el asistente de Aislaciones RH. ¿En qué te puedo ayudar con tu consulta de aislación térmica o acústica?"
L04,549261*****04,2026-08-06T15:50:33.185457Z,LEAD,"sí, la zona, si cubren Luján"
L04,549261*****04,2026-08-06T15:50:33.227800Z,BOT,"Sí, trabajamos en todo el Gran Mendoza, Luján incluido."
L05,549261*****05,2026-08-10T20:19:58.942102Z,LEAD,qué diferencia hay entre lana de vidrio y poliuretano proyectado?
L05,549261*****05,2026-08-10T20:19:58.972704Z,BOT,"Hola, ¿cómo estás? Soy el asistente de Aislaciones RH. ¿En qué te puedo ayudar con tu consulta de aislación térmica o acústica?"
L05,549261*****05,2026-08-10T20:19:59.003182Z,BOT,"La lana de vidrio va en mantas o paneles y es más económica; el poliuretano se proyecta, sella mejor las juntas y rinde más por espesor, pero sale más. La elección depende del techo y del presupuesto."
L05,549261*****05,2026-08-10T20:21:57.539692Z,LEAD,"ok gracias, lo tengo en cuenta"
L06,549261*****06,2026-08-11T13:54:08.079339Z,LEAD,"Hola, tengo un local que es un horno en verano, el techo es losa"
L06,549261*****06,2026-08-11T13:54:08.104268Z,BOT,"Hola, ¿cómo estás? Soy el asistente de Aislaciones RH. ¿En qué te puedo ayudar con tu consulta de aislación térmica o acústica?"
L06,549261*****06,2026-08-11T13:54:23.426899Z,LEAD,quiero saber qué se puede hacer y un precio aproximado
